Datum,DAX50ESGneu,HDAXneu,DAX39ESG,HDAX73
03.12.07,918.9113814,926.6753896,918.9113814,925.4365147
04.12.07,910.0046852,916.5740828,910.0046852,915.4670901
05.12.07,928.1273932,932.1011547,928.1273932,930.4940923
06.12.07,926.9195204,929.9695918,926.9195204,928.4240164
07.12.07,935.6417516,940.6038008,935.6417516,939.3039073
10.12.07,942.1954759,946.4753558,942.1954759,945.0433128
11.12.07,939.1546618,944.8959563,939.1546618,943.8939324
12.12.07,943.4203009,948.3608895,943.4203009,947.4589385
13.12.07,921.665591,928.4140506,921.665591,927.4927181
14.12.07,923.1535498,929.1215452,923.1535498,928.3073385
17.12.07,903.156863,908.7459481,903.156863,907.9942137
18.12.07,907.3585565,914.4493234,907.3585565,913.5860904
19.12.07,903.8818971,908.6361728,903.8818971,907.5300243
20.12.07,909.270427,915.531493,909.270427,914.7440419
21.12.07,924.5192594,929.9201056,924.5192594,929.0673565
24.12.07,924.5192594,929.9201056,924.5192594,929.0673565
25.12.07,924.5192594,929.9201056,924.5192594,929.0673565
26.12.07,924.5192594,929.9201056,924.5192594,929.0673565
27.12.07,927.9821036,932.440479,927.9821036,931.26859
28.12.07,932.6473829,936.0143831,932.6473829,934.7714971
31.12.07,932.6473829,936.0143831,932.6473829,934.7714971
01.01.08,932.6473829,936.0143831,932.6473829,934.7714971
02.01.08,916.8563498,924.3811864,916.8563498,923.1287857
03.01.08,904.158185,915.2995306,904.158185,914.1089925
04.01.08,886.6716626,898.9812995,886.6716626,897.8273755
07.01.08,874.3760444,888.9859295,874.3760444,888.0449953
08.01.08,881.0627574,894.5024845,881.0627574,892.9869693
09.01.08,867.4780716,879.6990885,867.4780716,878.5995238
10.01.08,858.8481843,871.3159403,858.8481843,870.7799065
11.01.08,864.8583085,874.1022477,864.8583085,873.3891391
14.01.08,871.9683509,878.9996616,871.9683509,878.6291837
15.01.08,846.4786866,853.8693861,846.4786866,853.4359037
16.01.08,835.3405936,838.3041595,835.3405936,838.3537854
17.01.08,827.1314913,833.1769208,827.1314913,832.5952994
18.01.08,815.6074534,823.1182968,815.6074534,822.3983342
21.01.08,759.762936,769.6035143,759.762936,769.0508731
22.01.08,770.5356369,782.3659074,770.5356369,781.2734243
23.01.08,739.9835155,758.5200906,739.9835155,757.548731
24.01.08,785.5648554,802.3052073,785.5648554,801.1105423
25.01.08,784.390392,801.9965446,784.390392,800.5820585
28.01.08,782.9004901,798.5446209,782.9004901,797.298845
29.01.08,796.7882621,813.6672755,796.7882621,812.4824376
30.01.08,796.1877366,810.0575841,796.1877366,808.8684342
31.01.08,792.109834,807.55638,792.109834,806.226599
01.02.08,813.4164107,829.0052745,813.4164107,827.8287861
04.02.08,817.5157331,834.0426657,817.5157331,832.6949288
05.02.08,783.0196481,802.6157777,783.0196481,801.3303527
06.02.08,789.8568128,806.8399443,789.8568128,805.4075647
07.02.08,774.0815601,792.038571,774.0815601,790.938099
08.02.08,776.8025893,796.1656268,776.8025893,795.3113264
11.02.08,771.7736352,792.6361753,771.7736352,791.9376618
12.02.08,799.5287691,820.1050376,799.5287691,819.6962917
13.02.08,804.376087,824.3047024,804.376087,823.8887337
14.02.08,798.5329946,820.7144561,798.5329946,820.0469327
15.02.08,784.8845619,806.0695862,784.8845619,805.2834134
18.02.08,799.9639253,821.7912473,799.9639253,821.2531341
19.02.08,804.2507226,825.8722646,804.2507226,825.3296922
20.02.08,792.4626577,814.9797756,792.4626577,814.7502074
21.02.08,797.9323951,818.3079263,797.9323951,817.8492725
22.02.08,790.5969753,811.5175316,790.5969753,810.9660681
25.02.08,806.0308521,823.8744732,806.0308521,823.4399113
26.02.08,819.4538493,835.2601007,819.4538493,834.8614344
27.02.08,818.769394,832.9767004,818.769394,832.6417511
28.02.08,802.5064566,819.3603536,802.5064566,819.0260475
29.02.08,788.4241292,806.5887436,788.4241292,806.5115445
03.03.08,780.1493364,799.3622126,780.1493364,799.6686262
04.03.08,762.2324767,782.6913949,762.2324767,782.5313087
05.03.08,781.4968813,800.432545,781.4968813,800.2657249
06.03.08,766.6755618,788.2215569,766.6755618,787.8280808
07.03.08,758.0095035,777.9183747,758.0095035,777.3686135
10.03.08,742.3560012,763.6918968,742.3560012,763.6140688
11.03.08,754.4246192,774.0988553,754.4246192,773.814654
12.03.08,766.9259756,785.5191209,766.9259756,785.2760428
13.03.08,750.7359697,771.2285385,750.7359697,771.24851
14.03.08,743.5768959,766.48618,743.5768959,766.4836315
17.03.08,706.9173232,735.0733587,706.9173232,734.7783633
18.03.08,733.7132772,760.1318296,733.7132772,760.010785
19.03.08,728.5908352,753.1909536,728.5908352,753.1521727
20.03.08,731.2574824,754.9080778,731.2574824,754.966963
21.03.08,731.2574824,754.9080778,731.2574824,754.966963
24.03.08,731.2574824,754.9080778,731.2574824,754.966963
25.03.08,763.4346854,783.5707698,763.4346854,783.6700396
26.03.08,759.9035763,781.5656462,759.9035763,781.6326831
27.03.08,768.0503237,790.7004198,768.0503237,790.6667458
28.03.08,768.9426823,791.9304276,768.9426823,791.7670589
31.03.08,765.8258475,789.6610249,765.8258475,789.2182905
01.04.08,791.3086467,812.8830806,791.3086467,812.3839293
02.04.08,798.9457903,818.7922846,798.9457903,818.0938618
03.04.08,791.7910178,813.2231405,791.7910178,812.6850826
04.04.08,794.0832695,817.4083478,794.0832695,816.8254679
07.04.08,801.9044394,826.2561105,801.9044394,825.8715113
08.04.08,791.1533531,815.8028147,791.1533531,815.3973075
09.04.08,782.9705578,809.1568105,782.9705578,808.2054064
10.04.08,782.7724302,809.0874424,782.7724302,808.1209107
11.04.08,770.5130341,800.1315133,770.5130341,799.0210123
14.04.08,766.5519148,796.8343691,766.5519148,795.6264923
15.04.08,770.1847912,801.5630976,770.1847912,800.4312366
16.04.08,784.3964495,816.166388,784.3964495,815.1571789
17.04.08,781.3754994,813.4541146,781.3754994,812.4970574
18.04.08,799.6837344,830.5278326,799.6837344,829.5019328
21.04.08,793.9906015,826.2386191,793.9906015,825.1297563
22.04.08,787.8314725,823.3033473,787.8314725,821.9347753
23.04.08,790.7568209,825.1654825,790.7568209,823.8992431
24.04.08,794.3713849,824.5647982,794.3713849,823.4453762
25.04.08,804.9944312,834.1104938,804.9944312,832.7007907
28.04.08,809.1656413,840.2681403,809.1656413,838.8313102
29.04.08,800.6014484,834.5066136,800.6014484,833.0822593
30.04.08,809.3541537,842.90307,809.3541537,841.6370457
01.05.08,809.4610728,842.9842063,809.4610728,841.7194862
02.05.08,825.6371975,858.9829259,825.6371975,857.6110636
05.05.08,828.9460944,860.948056,828.9460944,859.6848528
06.05.08,820.9066849,852.7734487,820.9066849,851.5586641
07.05.08,831.04441,863.1200261,831.04441,862.0458762
08.05.08,830.4449804,864.9862296,830.4449804,863.9630984
09.05.08,821.5880514,857.0470325,821.5880514,855.8495677
12.05.08,822.5407718,859.0193568,822.5407718,857.7695223
13.05.08,827.6446328,864.756129,827.6446328,863.385991
14.05.08,830.3157451,868.3326763,830.3157451,866.8495462
15.05.08,832.7635994,868.737852,832.7635994,867.270577
16.05.08,842.6325569,875.1897038,842.6325569,873.6346392
19.05.08,849.4773234,885.6819588,849.4773234,884.0036321
20.05.08,836.6029892,869.8186195,836.6029892,868.2612885
21.05.08,825.7799973,859.6682862,825.7799973,858.3097767
22.05.08,828.3319132,863.4907017,828.3319132,862.359454
23.05.08,815.5628618,848.7738435,815.5628618,847.669921
26.05.08,814.9402954,846.247379,814.9402954,845.0467926
27.05.08,814.6409478,845.1661748,814.6409478,843.7388834
28.05.08,824.6492918,855.0843618,824.6492918,853.9449334
29.05.08,825.3090157,858.6644258,825.3090157,857.656511
30.05.08,830.7619577,865.8519975,830.7619577,864.6945775
02.06.08,817.123619,853.887774,817.123619,852.4542303
03.06.08,817.8757954,856.8623957,817.8757954,855.0666624
04.06.08,810.9499156,851.4030039,810.9499156,849.4378393
05.06.08,810.5180245,850.9417223,810.5180245,848.7831023
06.06.08,789.5848787,832.715869,789.5848787,830.3252409
09.06.08,782.6470257,828.7335024,782.6470257,826.7600479
10.06.08,775.5549887,823.4781695,775.5549887,821.4553354
11.06.08,761.513742,811.4245122,761.513742,809.4020559
12.06.08,772.1260057,820.2939036,772.1260057,818.708009
13.06.08,779.131071,827.5842403,779.131071,825.9862509
16.06.08,778.7048521,827.4251396,778.7048521,825.4814249
17.06.08,788.2591316,836.175102,788.2591316,834.279446
18.06.08,773.8523612,823.4741472,773.8523612,821.635607
19.06.08,769.5621604,820.6399625,769.5621604,818.7731441
20.06.08,753.7748488,805.3260055,753.7748488,803.3581807
23.06.08,751.2745591,802.0804621,751.2745591,800.262502
24.06.08,744.9820261,795.6571574,744.9820261,793.8688499
25.06.08,758.1395277,807.3828448,758.1395277,805.2180915
26.06.08,736.216809,786.8168188,736.216809,784.9356076
27.06.08,727.0871672,779.9899243,727.0871672,778.4098871
30.06.08,725.774347,779.849993,725.774347,778.5595646
01.07.08,708.474991,763.9596466,708.474991,762.641994
02.07.08,704.0567267,757.8477627,704.0567267,756.6747208
03.07.08,708.7845431,759.4321728,708.7845431,758.1308596
04.07.08,697.480361,750.3386569,697.480361,748.5307594
07.07.08,707.5264584,761.3866839,707.5264584,759.3844935
08.07.08,695.6186966,748.6188434,695.6186966,746.625121
09.07.08,709.2862957,759.8959138,709.2862957,758.9952479
10.07.08,698.6784961,750.4901726,698.6784961,750.0659291
11.07.08,680.4619346,734.3411554,680.4619346,733.9676198
14.07.08,688.8827199,740.1187945,688.8827199,739.7431778
15.07.08,674.3926047,724.5250208,674.3926047,723.8549401
16.07.08,680.0991566,730.1004628,680.0991566,729.6059994
17.07.08,698.1595443,747.4179344,698.1595443,746.9561911
18.07.08,714.041549,757.6528288,714.041549,757.238236
21.07.08,720.527656,764.7522309,720.527656,764.0337451
22.07.08,719.6602848,763.6681536,719.6602848,763.1883905
23.07.08,733.8387124,775.5109715,733.8387124,775.276608
24.07.08,722.9027143,761.3343705,722.9027143,761.1669849
25.07.08,713.3914572,754.6569461,713.3914572,754.6106469
28.07.08,700.858226,745.6422449,700.858226,745.5403851
29.07.08,698.9875262,744.6426367,698.9875262,744.4345137
30.07.08,708.4744575,755.951564,708.4744575,755.5386523
31.07.08,710.1146113,760.391098,710.1146113,759.7987983
01.08.08,701.8089699,751.3578941,701.8089699,750.5137473
04.08.08,695.6167348,742.7220282,695.6167348,741.9167598
05.08.08,714.9331418,758.8734817,714.9331418,758.3186279
06.08.08,727.0194956,769.117547,727.0194956,768.55289
07.08.08,722.9361706,768.94677,722.9361706,768.0307352
08.08.08,726.0060092,773.3777537,726.0060092,772.2494741
11.08.08,735.2804944,778.3858163,735.2804944,777.1175318
12.08.08,732.0512041,776.2142139,732.0512041,775.1986981
13.08.08,711.3662828,758.7930579,711.3662828,757.5991062
14.08.08,712.1343573,760.7806441,712.1343573,759.7907177
15.08.08,712.7907162,761.3497244,712.7907162,760.3742709
18.08.08,710.7010018,760.5729996,710.7010018,759.5243856
19.08.08,691.3556039,743.4045154,691.3556039,742.1723723
20.08.08,695.7256752,750.1095675,695.7256752,748.8668975
21.08.08,686.0755602,742.2224539,686.0755602,740.6456335
22.08.08,701.6172409,757.3498204,701.6172409,755.9137452
25.08.08,695.7817911,751.6955406,695.7817911,750.1239645
26.08.08,699.4033537,757.0292286,699.4033537,755.810169
27.08.08,698.0603911,756.7575485,698.0603911,755.4401906
28.08.08,710.1240228,766.8938381,710.1240228,765.5070493
29.08.08,712.5591164,770.0648419,712.5591164,768.5179987
01.09.08,706.3148959,764.6944931,706.3148959,763.0333415
02.09.08,720.8032443,775.3994263,720.8032443,773.974584
03.09.08,713.1581102,768.3750695,713.1581102,767.0308687
04.09.08,692.6084685,747.8602306,692.6084685,746.6045225
05.09.08,675.7405043,729.7912255,675.7405043,728.6132794
08.09.08,693.4258978,748.2290674,693.4258978,746.8755722
09.09.08,690.1361791,740.988171,690.1361791,739.8175144
10.09.08,686.5727915,734.7435041,686.5727915,734.0279906
11.09.08,681.013006,731.2196609,681.013006,730.2274332
12.09.08,685.7923678,738.9142999,685.7923678,737.7125005
15.09.08,662.6080937,715.3595855,662.6080937,714.1227949
16.09.08,644.2503376,700.5965738,644.2503376,699.7065302
17.09.08,631.4268784,692.7031393,631.4268784,691.687561
